response,ager,educ,file_race,gender,race_eth,approve,APPRUSSIA,CRIMES,genballot,hdem_fav,hrep_fav,NFLA,NFLRIGHT,OPIOID,REVERSERACIS,STRANGER,SWAMP,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,file_race_noblack,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,Some college or trade school,White,Male,Other,Approve,Don't know,disagree,Don't know,Unfavorable,Unfavorable,oppose,oppose,no,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,White,Laguna Beach/South,85 percent or higher,Cell,1,0.8744,1.2442,0.8799,1.2925
Dem,18 to 34,Bachelors' degree,Asian,Male,Asian,Disapp.,Don't know,agree,Dems. take House,Don't know,Unfavorable,support,support,no,disagree,agree,disagree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Asian,Newport Beach,Less than 50 percent,Cell,1,0.4726,1.0419,1.6178,1.2021
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Landline,1,0.9902,0.6171,0.3709,0.6319
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,disagree,disagree,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",Unknown,Costa Mesa/North,85 percent or higher,Cell,1,0.9546,0.3256,0.2372,0.3317
Dem,65 and older,Some college or trade school,White,Female,Hispanic,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,Don't know,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9847,1.0933,0.8014,1.1231
Rep,65 and older,Graduate or Professional Degree,Hispanic,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,support,yes,agree,agree,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Hispanic,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.5405,1.0958,1.2562,1.2323
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Approve,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,no,agree,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Laguna Beach/South,85 percent or higher,Cell,1,0.9671,1.4952,1.0249,1.5368
Rep,18 to 34,High school,White,Male,Hispanic,Approve,Approve,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,no,disagree,disagree,disagree,18 to 29,High School Grad. or Less,Republican,Male,Very likely,Republican,Nonwhite,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.8501,0.8543,0.8563,0.8703
Und,65 and older,Bachelors' degree,Other,Male,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,agree,Dems. take House,Don't know,Unfavorable,Don't know,support,no,disagree,agree,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Other Non-White,Costa Mesa/North,Less than 50 percent,Cell,1,0.4036,0.969,1.9603,1.154
Rep,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,support,no,disagree,disagree,agree,18 to 29,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,Hispanic,Newport Beach,50 to 85 percent,Cell,1,0.6722,0.6011,0.6795,0.6226
Dem,18 to 34,High school,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,18 to 29,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.8991,0.5765,0.5751,0.5968
Rep,35 to 49,High school,White,Male,Other,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,disagree,disagree,agree,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Republican,Nonwhite,White,Laguna Beach/South,50 to 85 percent,Cell,1,0.8127,1.1283,1.1872,1.1841
Und,50 to 64,Some college or trade school,Hispanic,Female,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Hispanic,Laguna Beach/South,85 percent or higher,Landline,1,0.9442,1.2031,0.93,1.2389
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,agree,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,Hispanic,Costa Mesa/North,85 percent or higher,Landline,1,0.9328,0.8783,0.517,0.9054
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,oppose,oppose,no,agree,agree,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,50 to 85 percent,Landline,0.6667,0.7006,1.0808,1.1235,1.0862
Rep,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Unfavorable,Unfavorable,oppose,support,no,disagree,disagree,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9696,1.2559,0.7711,1.2906
Rep,65 and older,Graduate or Professional Degree,White,Male,Other,Don't know,Don't know,Don't know,Reps. keep House,Don't know,Favorable,Don't know,Don't know,no,disagree,disagree,agree,65 and older,Postgraduate Degree,Other,Male,Somewhat likely,or as a member of another political party,Nonwhite,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,0.5556,0.9769,0.7319,0.4806,0.7149
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Don't know,Reps. keep House,Don't know,Favorable,Don't know,Don't know,no,agree,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,50 to 85 percent,Landline,0.8889,0.7086,1.6016,1.5639,1.6119
Dem,35 to 49,Some college or trade school,Unknown,Female,Hispanic,Disapp.,Disapp.,agree,Dems. take House,Unfavorable,Unfavorable,support,support,yes,disagree,agree,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Unknown,Costa Mesa/North,50 to 85 percent,Cell,1,0.7309,0.777,0.7512,0.8289
Dem,18 to 34,Bachelors' degree,Asian,Female,Asian,Disapp.,Disapp.,agree,Dems. take House,Don't know,Unfavorable,oppose,support,no,disagree,agree,disagree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Asian,Costa Mesa/North,50 to 85 percent,Cell,1,0.7989,1.0318,0.8826,1.0856
Rep,18 to 34,High school,White,Female,Hispanic,Disapp.,Disapp.,agree,Dems. take House,Don't know,Favorable,support,support,no,agree,disagree,disagree,18 to 29,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,Nonwhite,White,Laguna Beach/South,50 to 85 percent,Cell,0.7778,0.6052,0.6187,0.9965,0.5289
Dem,65 and older,[DO NOT READ] Refused,Hispanic,Female,Hispanic,Disapp.,Don't know,disagree,Dems. take House,Don't know,Don't know,Don't know,Don't know,no,disagree,disagree,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,Almost certain,Democrat,Nonwhite,Hispanic,Laguna Beach/South,85 percent or higher,Cell,0.4444,0.9858,0.9071,0.8656,0.9185
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Approve,Disapp.,agree,Don't know,Favorable,Favorable,Don't know,support,yes,Don't know,disagree,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",Unknown,Laguna Beach/South,85 percent or higher,Cell,1,0.8872,0.8137,0.6739,0.8437
Dem,18 to 34,Some college or trade school,Asian,Male,Asian,Approve,Approve,disagree,Dems. take House,Unfavorable,Favorable,support,support,no,disagree,agree,agree,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,Asian,Costa Mesa/North,Less than 50 percent,Cell,0.7778,0.3203,1.3351,2.8993,1.3573
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,support,support,no,agree,disagree,disagree,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Cell,1,0.9849,0.9162,0.606,0.9369
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,disagree,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9092,0.7022,0.4752,0.7259
Und,35 to 49,Bachelors' degree,White,Female,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,disagree,agree,Don't know,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.2811,0.9513,2.4982,1.2244
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,agree,disagree,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9708,1.2293,0.7835,1.2633
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,agree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0.7778,0.1491,0.8683,3.7358,0.7166
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Don't know,Unfavorable,Don't know,support,no,disagree,agree,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Costa Mesa/North,85 percent or higher,Cell,1,0.8976,0.9492,0.7077,0.9828
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,Don't know,agree,disagree,65 and older,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9791,1.1931,0.8802,1.202
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Landline,0.4444,0.9739,0.7576,0.4776,0.7515
Rep,65 and older,Graduate or Professional Degree,White,Male,Hispanic,Approve,Disapp.,disagree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Not at all likely,Democrat,Nonwhite,White,Laguna Beach/South,85 percent or higher,Cell,0,0.988,0.5644,0.3424,0.5009
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,Don't know,Don't know,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Landline,1,0.9737,0.6171,0.3772,0.6297
Rep,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Disapp.,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,disagree,agree,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,Hispanic,Costa Mesa/North,50 to 85 percent,Cell,0.7778,0.7328,0.5329,0.4571,0.547
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,support,no,agree,agree,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9188,1.0891,0.7485,1.1245
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),Nonwhite,Hispanic,Laguna Beach/South,85 percent or higher,Cell,1,0.9759,0.8365,0.564,0.854
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,agree,agree,30 to 44,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9067,1.0406,0.6708,1.0584
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Favorable,oppose,Don't know,no,disagree,disagree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Cell,1,0.956,1.2672,0.7576,1.3035
Rep,65 and older,Graduate or Professional Degree,Asian,Male,Asian,Approve,Don't know,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,no,agree,disagree,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,Asian,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9877,2.1648,1.3025,2.224
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Unfavorable,oppose,oppose,no,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0.8889,0.2935,0.8464,2.0643,0.9231
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,disagree,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Cell,1,0.9644,1.1345,0.7036,1.1565
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,support,no,disagree,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Newport Beach,Less than 50 percent,Cell,0.7778,0.4812,0.9599,1.4138,1.0293
Rep,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Approve,Don't know,Don't know,Reps. keep House,Don't know,Unfavorable,oppose,oppose,no,agree,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,Hispanic,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.777,1.6303,1.4118,1.7225
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,oppose,support,yes,agree,disagree,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0.8889,0.4244,1.4216,2.3129,1.486
Und,18 to 34,Some college or trade school,White,Female,White,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,oppose,oppose,no,disagree,disagree,disagree,18 to 29,Some College Educ.,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,Costa Mesa/North,Less than 50 percent,Cell,0.1111,0.4258,0.5425,1.0252,0.1743
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Favorable,support,support,no,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Unknown,Laguna Beach/South,85 percent or higher,Cell,1,0.9252,0.4171,0.2843,0.4303
Dem,35 to 49,Some college or trade school,Unknown,Female,Hispanic,Disapp.,Don't know,agree,Dems. take House,Favorable,Don't know,Don't know,support,no,agree,agree,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Unknown,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9035,0.8255,0.6676,0.854
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Costa Mesa/North,85 percent or higher,Cell,1,0.9589,0.7119,0.4392,0.7321
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Other,Male,White,Don't know,Don't know,Don't know,Dems. take House,Favorable,Favorable,support,support,no,disagree,Don't know,Don't know,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",Other Non-White,Laguna Beach/South,85 percent or higher,Cell,0.6667,0.9856,0.609,0.4397,0.6168
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Don't know,Unfavorable,support,support,no,agree,agree,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Cell,1,0.9789,1.005,0.6267,1.0325
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Unfavorable,Unfavorable,support,support,no,disagree,agree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Costa Mesa/North,85 percent or higher,Cell,1,0.9714,1.041,0.7415,1.0697
Rep,50 to 64,Graduate or Professional Degree,White,Male,Black,Approve,Approve,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,Don't know,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,White,Newport Beach,85 percent or higher,Cell,1,0.9778,0.9144,0.5288,0.9394
Rep,35 to 49,Some college or trade school,White,Female,White,Disapp.,Don't know,disagree,Reps. keep House,Favorable,Favorable,oppose,oppose,yes,disagree,disagree,disagree,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,0.8889,0.7949,1.3557,1.1148,1.3606
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Favorable,oppose,support,yes,agree,disagree,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Costa Mesa/North,50 to 85 percent,Cell,1,0.7921,1.4205,1.107,1.4965
Rep,65 and older,Some college or trade school,Asian,Male,White,Approve,Don't know,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,disagree,agree,65 and older,Some College Educ.,Other,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",Asian,Laguna Beach/South,85 percent or higher,Cell,1,0.9965,2.3496,1.6652,2.4161
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Costa Mesa/North,50 to 85 percent,Cell,1,0.751,0.8457,0.7207,0.8983
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Disapp.,disagree,Reps. keep House,Don't know,Don't know,oppose,support,no,agree,disagree,agree,18 to 29,Some College Educ.,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Laguna Beach/South,50 to 85 percent,Cell,0.7778,0.6002,0.6687,0.8049,0.571
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Unknown,Costa Mesa/North,85 percent or higher,Cell,1,0.9085,0.5283,0.375,0.5462
Rep,35 to 49,Bachelors' degree,Asian,Female,Asian,Don't know,Disapp.,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,disagree,disagree,Don't know,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,Asian,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9831,2.9871,1.9213,3.0685
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,oppose,support,no,disagree,disagree,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Costa Mesa/North,85 percent or higher,Cell,1,0.9851,0.8629,0.4945,0.8864
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Costa Mesa/North,50 to 85 percent,Cell,1,0.8315,0.5831,0.411,0.6099
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,disagree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Cell,1,0.9797,1.1345,0.6927,1.1654
Dem,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Unknown,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.8848,0.9712,0.8192,1.0074
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.869,0.4205,0.3386,0.4372
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,disagree,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),Nonwhite,White,Newport Beach,85 percent or higher,Cell,1,0.9288,1.5229,1.0046,1.5493
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,disagree,disagree,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9202,1.2505,0.8516,1.291
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,[DO NOT READ] Don't know/Refused,Don't know,Approve,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,no,agree,disagree,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Unknown,Newport Beach,85 percent or higher,Cell,1,0.993,0.8333,0.4892,0.8564
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,agree,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9024,1.1126,0.7491,1.1512
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,support,support,no,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Cell,0.8889,0.9017,0.5223,0.3257,0.536
Dem,18 to 34,Bachelors' degree,Asian,Male,Asian,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,Asian,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.5861,0.9054,1.0646,0.9509
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Disapp.,disagree,Don't know,Don't know,Unfavorable,Don't know,support,no,disagree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,0.8889,0.9435,0.8475,0.5629,0.8678
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,agree,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Cell,1,0.9691,1.4907,0.9795,1.5319
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Costa Mesa/North,85 percent or higher,Cell,1,0.9784,0.6997,0.4557,0.7146
Und,50 to 64,Some college or trade school,White,Female,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,45 to 64,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0.4444,0.3895,1.5591,2.8574,1.0158
Dem,35 to 49,Graduate or Professional Degree,Other,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Other Non-White,Laguna Beach/South,85 percent or higher,Cell,1,0.974,0.609,0.4449,0.6257
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,Don't know,Don't know,yes,disagree,disagree,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Newport Beach,85 percent or higher,Cell,1,0.973,0.918,0.6098,0.9433
Und,35 to 49,Some college or trade school,Asian,Male,Asian,Don't know,Don't know,agree,Reps. keep House,Unfavorable,Don't know,support,support,no,agree,agree,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,Asian,Costa Mesa/North,Less than 50 percent,Cell,1,0.4824,2.3832,3.4644,2.7387
Und,50 to 64,Bachelors' degree,White,Female,White,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,no,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",White,Costa Mesa/North,Less than 50 percent,Cell,1,0.3956,1.3536,2.2647,1.6187
