response,ager,educ,file_race,gender,race_eth,approve,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,Phoenix/Tempe,85 percent or higher,Cell,1,0.9064,1.0977,0.6993,1.0748
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Unfavorable,Rep.,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,Unknown,Pima,50 to 85 percent,Cell,1,0.5201,1.0227,0.9385,1.1151
Dem,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),Nonwhite,35 to 49,Non-White,Rest of Maricopa,Less than 50 percent,Cell,1,0.4505,1.5491,2.8253,1.8282
Rep,50 to 64,High school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest of Maricopa,85 percent or higher,Cell,1,0.8679,1.5475,1.1246,1.5164
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Cell,0.6667,0.9908,0.851,0.5117,0.833
Rep,35 to 49,High school,White,Female,White,Approve,Don't know,Rep.,Don't know,30 to 44,High School Grad. or Less,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",35 to 49,White,Rest,85 percent or higher,Cell,0.8889,0.8981,1.4834,1.387,1.3718
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Unknown,Rest of Maricopa,85 percent or higher,Cell,1,0.9915,0.9528,0.5419,0.9424
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9916,0.942,0.5093,0.9318
Rep,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Don't know,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),Nonwhite,35 to 49,Non-White,Pima,50 to 85 percent,Cell,1,0.588,1.2699,1.1408,1.2834
Dem,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Don't know,Favorable,Dem.,Don't know,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,50 to 64,Non-White,Rest of Maricopa,50 to 85 percent,Cell,0.7778,0.7844,1.0022,0.6464,0.9479
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9944,0.6459,0.3268,0.6391
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9812,0.9699,0.5506,0.9591
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Favorable,Dem.,Favorable,30 to 44,Postgraduate Degree,Democratic,Male,Already voted,Democrat,Nonwhite,35 to 49,Non-White,Rest of Maricopa,85 percent or higher,Cell,1,0.9693,1.0402,0.6437,1.0343
Dem,50 to 64,Some college or trade school,White,Female,White,Don't know,Favorable,Rep.,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Phoenix/Tempe,50 to 85 percent,Cell,0.8889,0.8218,0.9289,0.6701,0.8974
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9063,0.806,0.5001,0.8024
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,Black,Disapp.,Favorable,Dem.,Don't know,30 to 44,Postgraduate Degree,Other,Male,Already voted,Democrat,Nonwhite,35 to 49,Unknown,Rest of Maricopa,85 percent or higher,Cell,1,0.9309,0.8365,0.5054,0.8379
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9787,0.7599,0.4885,0.7545
Rep,65 and older,High school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9907,1.2226,0.8439,1.2093
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Rest of Maricopa,Less than 50 percent,Cell,1,0.3239,1.3021,2.5776,1.5637
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Phoenix/Tempe,85 percent or higher,Cell,1,0.8913,0.9115,0.5252,0.9208
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9971,0.7239,0.3707,0.7174
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Cell,1,0.7915,0.6327,0.4037,0.6417
Dem,65 and older,High school,Unknown,Male,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Unknown,Rest of Maricopa,85 percent or higher,Landline,1,0.9886,1.2309,0.7343,1.2173
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Don't know,Rep.,Don't know,65 and older,Some College Educ.,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,0.5556,0.6411,0.8068,0.6757,0.6058
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9405,0.7239,0.3931,0.7237
Dem,65 and older,High school,White,Female,Other,Disapp.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Already voted,[DO NOT READ] Refused,Nonwhite,65 and older,White,Rest,85 percent or higher,Landline,1,0.855,1.1229,0.866,1.144
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9818,0.7239,0.3765,0.7121
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9925,0.8335,0.4622,0.8222
Rep,[DO NOT READ] Refused,Bachelors' degree,Unknown,Female,White,Approve,Unfavorable,Rep.,Favorable,18 to 29,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",18 to 34,Unknown,Phoenix/Tempe,85 percent or higher,Landline,1,0.9808,1.1115,0.8224,1.1032
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Pima,85 percent or higher,Cell,1,0.9749,0.9083,0.3601,0.9024
Dem,35 to 49,Some college or trade school,Unknown,Male,Asian,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,35 to 49,Unknown,Rest,85 percent or higher,Landline,1,0.9202,0.9236,0.6477,0.9044
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Cell,0.4444,0.811,0.7607,0.5635,0.7041
Dem,35 to 49,Bachelors' degree,Unknown,Male,Other,Approve,Favorable,Dem.,Favorable,30 to 44,4-year College Grad.,Republican,Male,Very likely,Democrat,Nonwhite,35 to 49,Unknown,Rest of Maricopa,85 percent or higher,Landline,1,0.9958,1.1657,0.778,1.1515
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Don't know,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9908,0.8128,0.4428,0.8039
Dem,65 and older,Bachelors' degree,White,Female,Black,Disapp.,Don't know,Dem.,Don't know,65 and older,4-year College Grad.,Other,Female,Not at all likely,Democrat,Nonwhite,65 and older,White,Phoenix/Tempe,Less than 50 percent,Landline,1,0.1592,1.0217,3.9728,0.6255
Und,18 to 34,Bachelors' degree,White,Female,White,Don't know,Don't know,Don't know,Don't know,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9371,1.0829,0.8004,1.0742
Dem,65 and older,Some college or trade school,Unknown,Female,[DO NOT READ] Don't know/Refused,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,65 and older,Unknown,Rest,85 percent or higher,Cell,0.4444,0.9745,0.7686,0.522,0.7439
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Phoenix/Tempe,85 percent or higher,Cell,1,0.9416,0.9843,0.58,0.9758
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Rest of Maricopa,Less than 50 percent,Cell,1,0.4964,1.2276,1.7742,1.3505
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Pima,85 percent or higher,Cell,1,0.9911,0.9022,0.4079,0.8924
Rep,35 to 49,Some college or trade school,White,Female,White,Disapp.,Unfavorable,Rep.,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rest of Maricopa,Less than 50 percent,Landline,1,0.4341,1.0627,1.8052,1.2004
Dem,50 to 64,Graduate or Professional Degree,White,Female,Other,Disapp.,Don't know,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,White,Phoenix/Tempe,50 to 85 percent,Cell,1,0.5718,0.783,0.6763,0.8389
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Unknown,Rest of Maricopa,85 percent or higher,Landline,1,0.9882,0.881,0.4744,0.8713
Dem,65 and older,Some college or trade school,Hispanic,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,Non-White,Rest of Maricopa,50 to 85 percent,Landline,1,0.7099,0.8934,0.7534,0.8864
Dem,65 and older,Bachelors' degree,White,Female,Hispanic,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,White,Pima,85 percent or higher,Landline,1,0.9014,0.8467,0.3861,0.8535
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,Less than 50 percent,Landline,1,0.3954,1.1773,1.9341,1.3554
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,30 to 44,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",35 to 49,White,Pima,50 to 85 percent,Landline,1,0.5157,0.9533,0.9385,1.0883
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Phoenix/Tempe,85 percent or higher,Landline,1,0.991,0.7298,0.4064,0.7195
Dem,65 and older,High school,Unknown,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,Unknown,Rest of Maricopa,85 percent or higher,Landline,1,0.9677,1.2309,0.7502,1.2083
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,[DO NOT READ] Don't know/Refused,50 to 64,White,Rest,50 to 85 percent,Landline,1,0.6457,0.9077,0.8716,0.9832
Rep,50 to 64,Graduate or Professional Degree,White,Male,Other,Approve,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Republican,Nonwhite,50 to 64,White,Pima,85 percent or higher,Landline,1,0.9965,0.8195,0.2876,0.8122
Rep,65 and older,[DO NOT READ] Refused,Unknown,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Rest of Maricopa,85 percent or higher,Cell,1,0.9834,0.8737,0.5652,0.864
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest of Maricopa,85 percent or higher,Cell,1,0.895,0.9699,0.6036,0.979
Und,65 and older,Bachelors' degree,White,Male,White,Don't know,Unfavorable,Don't know,Unfavorable,65 and older,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,50 to 85 percent,Cell,1,0.6278,0.8733,0.6591,0.8765
Dem,65 and older,Bachelors' degree,Unknown,Female,Other,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Unknown,Rest,85 percent or higher,Cell,1,0.9901,0.836,0.5092,0.8269
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Favorable,Don't know,Unfavorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9288,0.7096,0.4271,0.7045
Dem,35 to 49,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Unfavorable,30 to 44,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rest,Less than 50 percent,Landline,1,0.4368,1.0539,1.8536,1.2533
Dem,65 and older,Some college or trade school,Unknown,Female,Other,Disapp.,Favorable,Dem.,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,65 and older,Unknown,Phoenix/Tempe,85 percent or higher,Cell,1,0.9309,0.7381,0.4603,0.7326
Dem,35 to 49,High school,Hispanic,Female,Hispanic,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Non-White,Rest,85 percent or higher,Landline,1,0.9704,1.7277,1.5522,1.7091
Dem,65 and older,High school,Hispanic,Female,Other,Disapp.,Unfavorable,Dem.,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,Non-White,Rest of Maricopa,85 percent or higher,Landline,1,0.9826,1.424,1.029,1.413
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,White,Phoenix/Tempe,85 percent or higher,Landline,1,0.9843,0.9013,0.5472,0.8942
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Rest of Maricopa,Less than 50 percent,Landline,1,0.4737,1.3036,1.9931,1.4472
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,White,Phoenix/Tempe,85 percent or higher,Landline,1,0.9955,0.8459,0.4658,0.8355
Dem,50 to 64,Bachelors' degree,Other,Female,White,Disapp.,Favorable,Dem.,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Non-White,Rest,50 to 85 percent,Landline,1,0.5788,1.2826,1.2774,1.371
Rep,50 to 64,Some college or trade school,White,Male,White,Don't know,Unfavorable,Don't know,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.687,0.8917,0.6657,0.925
Dem,50 to 64,High school,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,Pima,85 percent or higher,Landline,1,0.9804,1.391,0.6862,1.3679
Dem,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Don't know,Dem.,Don't know,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,Non-White,Rest,Less than 50 percent,Landline,1,0.424,1.0833,1.8682,1.2981
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Favorable,Don't know,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9313,0.676,0.3293,0.6621
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Pima,85 percent or higher,Landline,1,0.9052,0.7416,0.3,0.7383
Dem,18 to 34,Bachelors' degree,White,Male,Asian,Disapp.,Unfavorable,Dem.,Don't know,18 to 29,4-year College Grad.,Other,Male,Already voted,Independent (No party),Nonwhite,18 to 34,White,Phoenix/Tempe,50 to 85 percent,Cell,1,0.5701,1.0807,1.0328,1.2046
Rep,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,50 to 64,White,Pima,50 to 85 percent,Landline,1,0.5073,0.8611,0.6985,0.9434
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,50 to 85 percent,Landline,1,0.7639,0.7199,0.4986,0.7511
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Unfavorable,Dem.,Favorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Pima,85 percent or higher,Cell,1,0.9083,0.8355,0.3815,0.8316
Rep,50 to 64,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,White,Rest of Maricopa,50 to 85 percent,Cell,1,0.7863,0.7614,0.4843,0.773
Rep,50 to 64,Bachelors' degree,Other,Female,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Non-White,Rest of Maricopa,85 percent or higher,Cell,1,0.9455,1.3153,0.9746,1.3035
Dem,65 and older,Grade school,Hispanic,Female,Hispanic,Disapp.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,Non-White,Rest,50 to 85 percent,Landline,1,0.847,1.4136,1.1788,1.443
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9729,0.6825,0.4008,0.6751
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Unfavorable,Don't know,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",65 and older,Unknown,Pima,85 percent or higher,Landline,1,0.947,0.6946,0.2615,0.6883
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Favorable,Don't know,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Rest of Maricopa,85 percent or higher,Cell,0.6667,0.9731,0.9301,0.5465,0.8784
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Don't know,Rep.,Don't know,45 to 64,Some College Educ.,Republican,Female,Not at all likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Phoenix/Tempe,Less than 50 percent,Landline,1,0.4712,1.1359,1.6752,0.7655
Rep,65 and older,High school,White,Male,White,Approve,Don't know,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9908,1.2968,0.79990000000000006,1.2785
Und,65 and older,Some college or trade school,White,Male,White,Don't know,Unfavorable,Don't know,Unfavorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Pima,85 percent or higher,Cell,1,0.9949,0.8256,0.3346,0.817
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",35 to 49,White,Phoenix/Tempe,50 to 85 percent,Cell,1,0.8445,0.8515,0.5083,0.8698
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,Rest of Maricopa,50 to 85 percent,Landline,1,0.6135,0.9954,0.9855,1.0014
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9402,0.7599,0.5085,0.7535
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Favorable,Rep.,Favorable,65 and older,4-year College Grad.,Other,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Cell,1,0.7271,0.8661,0.5879,0.9134
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,Approve,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,50 to 64,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9795,1.0598,0.6698,1.0481
Dem,65 and older,Bachelors' degree,Unknown,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Pima,85 percent or higher,Cell,1,0.9896,0.8564,0.3742,0.849
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rest of Maricopa,50 to 85 percent,Cell,1,0.7634,0.9218,0.6789,0.9095
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Pima,85 percent or higher,Cell,1,0.9972,0.8467,0.3491,0.8383
Und,50 to 64,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Unfavorable,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest of Maricopa,50 to 85 percent,Cell,0.7778,0.5588,0.8477,0.8356,0.6901
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",65 and older,Unknown,Pima,85 percent or higher,Cell,1,0.9957,0.75,0.2901,0.7423
Und,65 and older,Some college or trade school,White,Male,Other,Approve,Don't know,Don't know,Favorable,65 and older,Some College Educ.,Other,Male,Already voted,Independent (No party),Nonwhite,65 and older,White,Rest,50 to 85 percent,Cell,1,0.6169,0.7472,0.602,0.8178
Und,50 to 64,Bachelors' degree,White,Male,Black,Don't know,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,Nonwhite,35 to 49,White,Rest,50 to 85 percent,Cell,1,0.5259,1.0596,1.1721,1.1529
Rep,50 to 64,Graduate or Professional Degree,White,Female,Other,Approve,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,Nonwhite,50 to 64,White,Phoenix/Tempe,85 percent or higher,Cell,1,0.9882,0.8335,0.4755,0.8265
Dem,50 to 64,High school,White,Male,Black,Disapp.,Don't know,Dem.,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,White,Rest of Maricopa,50 to 85 percent,Cell,1,0.7273,1.4538,1.1045,1.4941
