response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Dubuque,50 to 85 percent,Cell,0.5556,0.7091,0.7891,0.8184,0.6496
Rep,18 to 34,Bachelors' degree,White,Female,White,Don't know,Don't know,Reps. keep House,Don't know,Don't know,Don't know,Oppose,Support,agree,30 to 44,4-year College Grad.,Other,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,"Rest, Trump >60%",50 to 85 percent,Cell,0,0.5507,0.8737,0.9523,0.2973
Dem,65 and older,High school,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,Linn,85 percent or higher,Cell,0.1111,0.9592,1.378,1.0262,1.3647
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Support,disagree,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Linn,50 to 85 percent,Landline,1,0.5793,0.9881,1.3445,1.062
Dem,65 and older,High school,White,Female,White,oppose,Don't know,Dems. take House,Favorable,Unfavorable,Oppose,Support,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Dubuque,85 percent or higher,Landline,1,0.9948,1.0128,0.7669,1.0641
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Don't know,Oppose,Oppose,agree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Linn,Less than 50 percent,Cell,0.8889,0.477,1.3375,2.6085,1.5226
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Disapp.,Reps. keep House,Unfavorable,Favorable,Support,Oppose,Support,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,"Rest, Trump <60%",85 percent or higher,Cell,0.8889,0.9889,1.2926,0.9369,1.3547
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,Other,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Unknown/Non-White,Black Hawk,85 percent or higher,Cell,1,0.9547,0.6411,0.3425,0.674
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Linn,85 percent or higher,Cell,1,0.9557,0.9029,0.7727,0.9492
Dem,50 to 64,Some college or trade school,White,Female,White,Don't know,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Linn,85 percent or higher,Landline,1,0.9108,0.7663,0.6058,0.8095
Dem,50 to 64,High school,White,Female,White,support,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump <60%",50 to 85 percent,Cell,1,0.5446,0.9607,1.3808,1.1026
Und,18 to 34,Graduate or Professional Degree,Asian,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Don't know,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Unknown/Non-White,"Rest, Trump <60%",Less than 50 percent,Cell,0.2222,0.4531,0.7391,1.4369,0.2779
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.9165,1.148,0.8536,1.2118
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,Support,Support,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9821,0.7175,0.4914,0.7532
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Don't know,Favorable,Unfavorable,Support,Support,Support,agree,30 to 44,Postgraduate Degree,Republican,Male,Somewhat likely,or as a member of another political party,"White, 4-Year College Grads",White,18 to 34,White,Linn,Less than 50 percent,Cell,0.8889,0.4608,1.4385,2.7539,1.2949
Dem,50 to 64,Some college or trade school,Unknown,Female,White,support,Disapp.,Don't know,Favorable,Unfavorable,Support,Oppose,Support,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Unknown/Non-White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.9601,0.6115,0.4407,0.6368
Und,65 and older,High school,White,Female,White,Don't know,Approve,Reps. keep House,Unfavorable,Unfavorable,Support,Don't know,Support,agree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.9951,0.9313,0.8205,0.9764
Rep,35 to 49,High school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Linn,50 to 85 percent,Cell,1,0.5724,2.4316,2.9436,2.0657
Rep,18 to 34,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Favorable,Favorable,Oppose,Support,Support,agree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Dubuque,50 to 85 percent,Cell,1,0.8078,0.9161,0.7025,0.9835
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Don't know,Don't know,Support,Support,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Dubuque,85 percent or higher,Landline,0.8889,0.996,0.7523,0.5236,0.7882
Rep,35 to 49,High school,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,"Rest, Trump >60%",85 percent or higher,Cell,1,0.8695,1.689,1.4335,1.757
Dem,65 and older,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Favorable,Unfavorable,Support,Support,Support,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.9294,0.8565,0.6253,0.9027
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Linn,50 to 85 percent,Cell,1,0.6893,0.8857,0.6732,0.9749
Rep,18 to 34,Bachelors' degree,White,Male,White,Don't know,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,18 to 29,4-year College Grad.,Republican,Male,Not very likely,Republican,"White, 4-Year College Grads",White,18 to 34,White,"Rest, Trump >60%",50 to 85 percent,Cell,0.2222,0.535,1.1688,1.4961,0.5864
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Linn,85 percent or higher,Cell,1,0.935,0.9112,0.5571,0.9598
Dem,50 to 64,High school,Unknown,Female,White,oppose,Disapp.,Don't know,Favorable,Unfavorable,Support,Support,Support,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Unknown/Non-White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.8787,0.9893,0.6742,1.0496
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.9187,0.597,0.5482,0.6206
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,agree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Unknown/Non-White,Black Hawk,50 to 85 percent,Cell,1,0.5897,0.7193,0.8146,0.8135
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Female,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,Unknown/Non-White,Black Hawk,85 percent or higher,Cell,0.8889,0.9317,0.6633,0.3453,0.684
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Linn,85 percent or higher,Cell,1,0.9855,0.7663,0.5601,0.8046
Dem,65 and older,Some college or trade school,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,Black Hawk,85 percent or higher,Cell,1,0.9286,0.5918,0.42,0.6238
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Don't know,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Black Hawk,Less than 50 percent,Cell,1,0.4671,0.896,1.7082,1.0589
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9112,0.6192,0.4779,0.6437
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Don't know,Don't know,Don't know,Support,Support,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,0.8889,0.9939,0.7175,0.4856,0.7528
Dem,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Don't know,Unfavorable,Support,Support,Support,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.8671,0.8756,0.6675,0.9306
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,oppose,Disapp.,Don't know,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.9868,1.1155,0.8474,1.1712
Dem,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Dems. take House,Unfavorable,Unfavorable,Oppose,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.9482,0.5628,0.4642,0.592
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Linn,85 percent or higher,Landline,1,0.9741,1.0066,0.6756,1.057
Rep,50 to 64,High school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Oppose,Support,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Dubuque,85 percent or higher,Landline,1,0.9385,1.4827,1.0591,1.5611
Und,65 and older,High school,Unknown,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.9565,1.2161,0.7857,1.2661
Dem,65 and older,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Favorable,Unfavorable,Support,Support,Support,disagree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Landline,1,0.869,0.9616,0.7469,1.0004
Rep,50 to 64,High school,White,Female,White,oppose,Approve,Reps. keep House,Don't know,Favorable,Support,Oppose,Support,agree,45 to 64,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump <60%",Less than 50 percent,Landline,1,0.2735,1.5096,4.2915,1.8029
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.9511,0.7494,0.4917,0.7799
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.9375,1.1155,0.8919,1.1747
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Dubuque,85 percent or higher,Cell,1,0.891,0.9505,0.688,1.0066
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Unknown/Non-White,Black Hawk,85 percent or higher,Cell,1,0.9016,0.6411,0.3626,0.6664
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,White,support,Don't know,Don't know,Don't know,Don't know,Don't know,Oppose,Support,Don't know,30 to 44,Postgraduate Degree,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Unknown/Non-White,Black Hawk,85 percent or higher,Cell,0.4444,0.9245,0.889,0.4681,0.8201
Rep,35 to 49,Bachelors' degree,White,Male,Other,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,Black Hawk,85 percent or higher,Cell,1,0.8709,1.1791,0.8561,1.2525
Rep,35 to 49,Some college or trade school,Unknown,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,Unknown/Non-White,"Rest, Trump >60%",85 percent or higher,Cell,1,0.9393,0.8778,0.5844,0.9129
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Support,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Linn,85 percent or higher,Cell,1,0.9147,0.7663,0.6033,0.8091
Rep,50 to 64,High school,White,Female,White,Don't know,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Dubuque,50 to 85 percent,Cell,1,0.8136,1.0448,0.8644,1.09
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Don't know,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump <60%",85 percent or higher,Landline,1,0.9332,0.597,0.5398,0.629
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.9615,0.9272,0.7812,0.9743
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump >60%",85 percent or higher,Cell,1,0.9947,0.8299,0.5894,0.8719
Rep,18 to 34,Some college or trade school,White,Female,White,Don't know,Approve,Don't know,Don't know,Favorable,Support,Oppose,Oppose,agree,18 to 29,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Linn,50 to 85 percent,Cell,0.7778,0.5446,0.9265,1.3416,0.7983
Dem,50 to 64,Grade school,White,Male,White,support,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Support,Oppose,disagree,45 to 64,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.8918,1.3659,1.0522,1.4201
Rep,35 to 49,Bachelors' degree,White,Male,Hispanic,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Don't know,Support,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,Dubuque,85 percent or higher,Cell,1,0.9312,1.4057,0.9295,1.4812
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Oppose,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown/Non-White,Dubuque,85 percent or higher,Landline,1,0.9681,0.9395,0.4966,0.9791
Rep,18 to 34,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Linn,50 to 85 percent,Cell,1,0.5807,1.2394,1.9215,1.4057
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Dubuque,85 percent or higher,Cell,1,0.9959,0.7462,0.4535,0.7841
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Black Hawk,85 percent or higher,Cell,1,0.9265,0.596,0.3741,0.6283
Und,50 to 64,High school,Unknown,Male,White,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Republican,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Unknown/Non-White,Dubuque,Less than 50 percent,Cell,0,0.261,2.3863,6.1688,0.5891
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,"Rest, Trump >60%",50 to 85 percent,Landline,1,0.8113,1.0226,0.9026,1.0971
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.9281,0.7543,0.6381,0.7951
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Black Hawk,85 percent or higher,Cell,1,0.9653,0.467,0.2999,0.4906
Dem,65 and older,High school,White,Female,White,Don't know,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Linn,85 percent or higher,Cell,1,0.9923,1.2682,1.0322,1.332
Dem,50 to 64,Some college or trade school,White,Female,White,support,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,"Rest, Trump <60%",85 percent or higher,Cell,0.6667,0.8966,0.6533,0.4797,0.6539
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Favorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Rest, Trump >60%",85 percent or higher,Cell,1,0.9319,0.5005,0.2914,0.5273
Und,35 to 49,Some college or trade school,Unknown,Female,White,support,Disapp.,Reps. keep House,Favorable,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Female,Not very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,Unknown/Non-White,Black Hawk,85 percent or higher,Cell,0,0.9461,0.6663,0.4879,0.5295
Dem,50 to 64,High school,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Oppose,Support,Oppose,agree,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Linn,85 percent or higher,Cell,0.8889,0.9736,1.6023,1.2375,1.6638
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Other,Male,Not very likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,"Rest, Trump >60%",50 to 85 percent,Landline,0.4444,0.739,1.2195,1.2249,0.8547
Und,65 and older,Bachelors' degree,White,Male,White,support,Disapp.,Reps. keep House,Favorable,Favorable,Oppose,Oppose,Support,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Black Hawk,85 percent or higher,Cell,1,0.9108,0.989,0.5332,1.0447
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Linn,85 percent or higher,Cell,1,0.8528,1.0482,0.8462,1.1166
Und,50 to 64,Some college or trade school,White,Female,White,Don't know,Disapp.,Don't know,Don't know,Favorable,Support,Support,Don't know,disagree,45 to 64,Some College Educ.,Other,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Linn,50 to 85 percent,Cell,0.5556,0.824,0.9736,0.6909,0.7
Rep,50 to 64,High school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Black Hawk,85 percent or higher,Cell,1,0.9188,1.2461,0.8223,1.3149
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Rest, Trump <60%",85 percent or higher,Cell,1,0.9967,0.6918,0.5599,0.727
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Black Hawk,85 percent or higher,Cell,1,0.9214,0.5446,0.4403,0.5745
Rep,65 and older,High school,Unknown,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,65 and older,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,Black Hawk,85 percent or higher,Cell,1,0.9948,1.4364,0.8359,1.5057
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,disagree,18 to 29,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Dubuque,85 percent or higher,Cell,0.7778,0.9324,0.7211,0.59,0.7082
Dem,65 and older,High school,Unknown,Female,White,support,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown/Non-White,Dubuque,85 percent or higher,Landline,1,0.939,1.2776,0.7632,1.3452
